LD,LD,LD,LD,LD,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
  ,  ,  ,  ,  ,A41,  ,  ,X91,C62,  ,  ,O88,C52,  ,  ,  ,  ,  ,
  ,  ,  ,  ,  ,T96,  ,  ,W33,X8,  ,  ,S25,T11,  ,  ,  ,  ,  ,
  ,  ,  ,  ,  ,O8,  ,  ,S80,Q77,  ,  ,U12,A2,  ,  ,  ,  ,  ,
  ,  ,  ,  ,  ,D6,  ,  ,I77,M12,  ,  ,X96,G31,  ,  ,  ,  ,  ,
  ,  ,  ,  ,  ,F74,  ,  ,J69,O2,  ,  ,J43,I65,  ,  ,  ,  ,  ,
  ,  ,  ,  ,  ,B53,  ,  ,Y8,Y11,  ,  ,X62,N26,  ,  ,  ,  ,  ,
  ,  ,  ,  ,  ,H41,  ,  ,T30,J69,  ,  ,P18,S93,  ,  ,  ,  ,  ,
  ,  ,  ,  ,  ,H8,  ,  ,C35,V1,  ,  ,V12,K9,  ,  ,  ,  ,  ,
  ,  ,  ,  ,  ,H30,  ,  ,Z41,X54,  ,  ,A49,P44,  ,  ,  ,  ,  ,
  ,  ,  ,  ,  ,V65,  ,  ,A25,M86,  ,  ,T38,P38,  ,  ,  ,  ,  ,
  ,  ,  ,  ,  ,B45,  ,  ,K93,M12,  ,  ,S18,P21,  ,  ,  ,  ,  ,
  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
CH,  ,CH,  ,CH,  ,CH,  ,CH,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
